Chunksize,Batchsize,Time
100,100,106.56819343566895
100,500,120.77495861053467
100,1000,108.27419233322144
100,5000,111.48720026016235
500,100,123.997882604599
500,500,107.65687155723572
500,1000,107.42619276046753
500,5000,116.86424899101257
1000,100,110.13820099830627
1000,500,109.96258306503296
1000,1000,112.62788844108582
1000,5000,110.64719438552856
5000,100,118.91134095191956
5000,500,118.63892078399658
5000,1000,118.29720377922058
5000,5000,119.5396375656128
