Workers,Writers,Duration
1,11,149.41492581367493
2,10,106.7932641506195
3,9,111.20624494552612
4,8,107.55461549758911
5,7,109.4550986289978
6,6,109.11326193809509
7,5,109.08317399024963
8,4,108.73921823501587
9,3,112.85998058319092
10,2,107.77918839454651
11,1,134.91763734817505
